No prefetch                                       UserTime: 5.64 e/us  KernelTime: not measured e/us, sum: 0
prefetch x1                                       UserTime: 9.55 e/us  KernelTime: not measured e/us, sum: 0
prefetch x1 E                                     UserTime: 9.70 e/us  KernelTime: not measured e/us, sum: 0
prefetch x1 NTA                                   UserTime: 14.29 e/us  KernelTime: not measured e/us, sum: 0
prefetch x1 E+NTA                                 UserTime: 9.62 e/us  KernelTime: not measured e/us, sum: 0
prefetch x2                                       UserTime: 9.81 e/us  KernelTime: not measured e/us, sum: 0
prefetch x2 E                                     UserTime: 9.73 e/us  KernelTime: not measured e/us, sum: 0
prefetch x2 NTA                                   UserTime: 12.98 e/us  KernelTime: not measured e/us, sum: 0
prefetch x2 E+NTA                                 UserTime: 9.37 e/us  KernelTime: not measured e/us, sum: 0
prefetch x3                                       UserTime: 9.96 e/us  KernelTime: not measured e/us, sum: 0
prefetch x3 E                                     UserTime: 9.37 e/us  KernelTime: not measured e/us, sum: 0
prefetch x3 NTA                                   UserTime: 15.85 e/us  KernelTime: not measured e/us, sum: 0
prefetch x3 E+NTA                                 UserTime: 9.29 e/us  KernelTime: not measured e/us, sum: 0
prefetch x4                                       UserTime: 10.27 e/us  KernelTime: not measured e/us, sum: 0
prefetch x4 E                                     UserTime: 10.14 e/us  KernelTime: not measured e/us, sum: 0
prefetch x4 NTA                                   UserTime: 15.92 e/us  KernelTime: not measured e/us, sum: 0
prefetch x4 E+NTA                                 UserTime: 9.95 e/us  KernelTime: not measured e/us, sum: 0
prefetch x5                                       UserTime: 9.67 e/us  KernelTime: not measured e/us, sum: 0
prefetch x5 E                                     UserTime: 10.37 e/us  KernelTime: not measured e/us, sum: 0
prefetch x5 NTA                                   UserTime: 15.79 e/us  KernelTime: not measured e/us, sum: 0
prefetch x5 E+NTA                                 UserTime: 10.10 e/us  KernelTime: not measured e/us, sum: 0
prefetch x6                                       UserTime: 9.97 e/us  KernelTime: not measured e/us, sum: 0
prefetch x6 E                                     UserTime: 9.51 e/us  KernelTime: not measured e/us, sum: 0
prefetch x6 NTA                                   UserTime: 12.95 e/us  KernelTime: not measured e/us, sum: 0
prefetch x6 E+NTA                                 UserTime: 9.69 e/us  KernelTime: not measured e/us, sum: 0
prefetch x7                                       UserTime: 10.10 e/us  KernelTime: not measured e/us, sum: 0
prefetch x7 E                                     UserTime: 9.49 e/us  KernelTime: not measured e/us, sum: 0
prefetch x7 NTA                                   UserTime: 12.05 e/us  KernelTime: not measured e/us, sum: 0
prefetch x7 E+NTA                                 UserTime: 9.98 e/us  KernelTime: not measured e/us, sum: 0
prefetch x8                                       UserTime: 16.34 e/us  KernelTime: not measured e/us, sum: 0
prefetch x8 E                                     UserTime: 16.43 e/us  KernelTime: not measured e/us, sum: 0
prefetch x8 NTA                                   UserTime: 9.00 e/us  KernelTime: not measured e/us, sum: 0
prefetch x8 E+NTA                                 UserTime: 16.70 e/us  KernelTime: not measured e/us, sum: 0
prefetch x10                                      UserTime: 16.49 e/us  KernelTime: not measured e/us, sum: 0
prefetch x10 E                                    UserTime: 13.87 e/us  KernelTime: not measured e/us, sum: 0
prefetch x10 NTA                                  UserTime: 8.84 e/us  KernelTime: not measured e/us, sum: 0
prefetch x10 E+NTA                                UserTime: 16.29 e/us  KernelTime: not measured e/us, sum: 0
prefetch x12                                      UserTime: 16.28 e/us  KernelTime: not measured e/us, sum: 0
prefetch x12 E                                    UserTime: 17.44 e/us  KernelTime: not measured e/us, sum: 0
prefetch x12 NTA                                  UserTime: 8.94 e/us  KernelTime: not measured e/us, sum: 0
prefetch x12 E+NTA                                UserTime: 16.42 e/us  KernelTime: not measured e/us, sum: 0
prefetch x14                                      UserTime: 16.32 e/us  KernelTime: not measured e/us, sum: 0
prefetch x14 E                                    UserTime: 17.27 e/us  KernelTime: not measured e/us, sum: 0
prefetch x14 NTA                                  UserTime: 8.53 e/us  KernelTime: not measured e/us, sum: 0
prefetch x14 E+NTA                                UserTime: 17.53 e/us  KernelTime: not measured e/us, sum: 0
prefetch x16                                      UserTime: 17.53 e/us  KernelTime: not measured e/us, sum: 0
prefetch x16 E                                    UserTime: 16.63 e/us  KernelTime: not measured e/us, sum: 0
prefetch x16 NTA                                  UserTime: 8.71 e/us  KernelTime: not measured e/us, sum: 0
prefetch x16 E+NTA                                UserTime: 17.38 e/us  KernelTime: not measured e/us, sum: 0
prefetch x24                                      UserTime: 18.00 e/us  KernelTime: not measured e/us, sum: 0
prefetch x24 E                                    UserTime: 13.42 e/us  KernelTime: not measured e/us, sum: 0
prefetch x24 NTA                                  UserTime: 8.55 e/us  KernelTime: not measured e/us, sum: 0
prefetch x24 E+NTA                                UserTime: 17.52 e/us  KernelTime: not measured e/us, sum: 0
prefetch x32                                      UserTime: 18.00 e/us  KernelTime: not measured e/us, sum: 0
prefetch x32 E                                    UserTime: 17.77 e/us  KernelTime: not measured e/us, sum: 0
prefetch x32 NTA                                  UserTime: 8.57 e/us  KernelTime: not measured e/us, sum: 0
prefetch x32 E+NTA                                UserTime: 16.53 e/us  KernelTime: not measured e/us, sum: 0
prefetch x48                                      UserTime: 17.35 e/us  KernelTime: not measured e/us, sum: 0
prefetch x48 E                                    UserTime: 15.72 e/us  KernelTime: not measured e/us, sum: 0
prefetch x48 NTA                                  UserTime: 7.93 e/us  KernelTime: not measured e/us, sum: 0
prefetch x48 E+NTA                                UserTime: 16.46 e/us  KernelTime: not measured e/us, sum: 0
prefetch x64                                      UserTime: 16.16 e/us  KernelTime: not measured e/us, sum: 0
prefetch x64 E                                    UserTime: 16.12 e/us  KernelTime: not measured e/us, sum: 0
prefetch x64 NTA                                  UserTime: 7.92 e/us  KernelTime: not measured e/us, sum: 0
prefetch x64 E+NTA                                UserTime: 16.03 e/us  KernelTime: not measured e/us, sum: 0
prefetch x96                                      UserTime: 15.58 e/us  KernelTime: not measured e/us, sum: 0
prefetch x96 E                                    UserTime: 15.80 e/us  KernelTime: not measured e/us, sum: 0
prefetch x96 NTA                                  UserTime: 6.10 e/us  KernelTime: not measured e/us, sum: 0
prefetch x96 E+NTA                                UserTime: 16.09 e/us  KernelTime: not measured e/us, sum: 0
prefetch x128                                     UserTime: 15.64 e/us  KernelTime: not measured e/us, sum: 0
prefetch x128 E                                   UserTime: 15.63 e/us  KernelTime: not measured e/us, sum: 0
prefetch x128 NTA                                 UserTime: 5.57 e/us  KernelTime: not measured e/us, sum: 0
prefetch x128 E+NTA                               UserTime: 17.12 e/us  KernelTime: not measured e/us, sum: 0

