No prefetch                                       UserTime: 5.94 e/us  KernelTime: not measured e/us, sum: 0
No prefetch-direct                                UserTime: 29.46 e/us  KernelTime: not measured e/us, sum: 0
prefetch x1                                       UserTime: 9.89 e/us  KernelTime: not measured e/us, sum: 0
prefetch x1 E                                     UserTime: 9.96 e/us  KernelTime: not measured e/us, sum: 0
prefetch x1 NTA                                   UserTime: 15.62 e/us  KernelTime: not measured e/us, sum: 0
prefetch x1 W                                     UserTime: 9.89 e/us  KernelTime: not measured e/us, sum: 0
prefetch x2                                       UserTime: 10.68 e/us  KernelTime: not measured e/us, sum: 0
prefetch x2 E                                     UserTime: 11.38 e/us  KernelTime: not measured e/us, sum: 0
prefetch x2 NTA                                   UserTime: 22.23 e/us  KernelTime: not measured e/us, sum: 0
prefetch x2 W                                     UserTime: 10.66 e/us  KernelTime: not measured e/us, sum: 0
prefetch x3                                       UserTime: 11.59 e/us  KernelTime: not measured e/us, sum: 0
prefetch x3 E                                     UserTime: 11.22 e/us  KernelTime: not measured e/us, sum: 0
prefetch x3 NTA                                   UserTime: 24.53 e/us  KernelTime: not measured e/us, sum: 0
prefetch x3 W                                     UserTime: 10.96 e/us  KernelTime: not measured e/us, sum: 0
prefetch x4                                       UserTime: 10.68 e/us  KernelTime: not measured e/us, sum: 0
prefetch x4 E                                     UserTime: 10.98 e/us  KernelTime: not measured e/us, sum: 0
prefetch x4 NTA                                   UserTime: 22.53 e/us  KernelTime: not measured e/us, sum: 0
prefetch x4 W                                     UserTime: 10.51 e/us  KernelTime: not measured e/us, sum: 0
prefetch x5                                       UserTime: 10.83 e/us  KernelTime: not measured e/us, sum: 0
prefetch x5 E                                     UserTime: 10.53 e/us  KernelTime: not measured e/us, sum: 0
prefetch x5 NTA                                   UserTime: 25.05 e/us  KernelTime: not measured e/us, sum: 0
prefetch x5 W                                     UserTime: 10.87 e/us  KernelTime: not measured e/us, sum: 0
prefetch x6                                       UserTime: 10.85 e/us  KernelTime: not measured e/us, sum: 0
prefetch x6 E                                     UserTime: 10.64 e/us  KernelTime: not measured e/us, sum: 0
prefetch x6 NTA                                   UserTime: 23.44 e/us  KernelTime: not measured e/us, sum: 0
prefetch x6 W                                     UserTime: 11.90 e/us  KernelTime: not measured e/us, sum: 0
prefetch x7                                       UserTime: 11.64 e/us  KernelTime: not measured e/us, sum: 0
prefetch x7 E                                     UserTime: 11.08 e/us  KernelTime: not measured e/us, sum: 0
prefetch x7 NTA                                   UserTime: 20.92 e/us  KernelTime: not measured e/us, sum: 0
prefetch x7 W                                     UserTime: 10.87 e/us  KernelTime: not measured e/us, sum: 0
prefetch x8                                       UserTime: 23.75 e/us  KernelTime: not measured e/us, sum: 0
prefetch x8 E                                     UserTime: 23.52 e/us  KernelTime: not measured e/us, sum: 0
prefetch x8 NTA                                   UserTime: 10.58 e/us  KernelTime: not measured e/us, sum: 0
